id,product_name,description,price,rate,image_source,date,quanitity_unit,quantity_available,,category_id
1,"Bộ 12 Miếng Dán Phản Quang Cảnh Báo Ban Đêm Dùng Cho Xe Ô Tô, Xe Máy, Xe Đạp","Tên sản phẩm: Miếng dán phản quang cảnh báo ban đêm
Kích thước: 4.5cm x 4cm (1 miếng)
Chất liệu: PVC cao cấp có lớp phản quang
Miếng dán có 1 mặt phản quang, 1 mặt băng dính 2 mặt
Màu sắc: Xanh neon, Cam, Đỏ, Bạc, Đỏ, Xanh",25000,,https://file.hstatic.net/200000163769/file/o_12_mieng_dan_phan_quang_canh_bao_ban_dem_cho_xe_o_to__xe_may__xe_dap_fbebaa57a9a3494e9d44eee825665f53_grande.png,,,,,1fa4ee2b-be04-4227-b82b-ed20f9fc2c3a
2,"Nước Hoa Để Taplo Ô tô,
Nước Hoa DUKE Chính Hãng,
Chiết Xuất 100% Thiên Nhiên,
Giúp Khử Mùi ,Chống Say Xe","Tên sản phẩm: Nước Hoa DUKE
 để taplo ô tô 
Dung tích:50ml
Kích thước:94mm x 56.7mm x 53.8mm
Trọng lượng:300gr
Các mùi:
+Màu Đen: Đàn Hương
+Màu Xanh: Hoa Nhài Tươi Mát
+Màu Vàng : Hương cafe
Chất liệu: Chai thủy tinh cao cấp
Có thể để trên taplo ô tô , phòng làm việc,
phòng ngủ, bàn làm việc,bàn học...",179000,,"https://product.hstatic.net/200000163769
/product/4._nuoc_hoa_duke_dung_tren_o_to
__ban_lam_viec__van_phong_
422b612c305e418398782e155db2acca_master.png",,,,,85bc4456-9b62-4f79-b101-b9068446e36e
3,"Mào TAXI Đế Hút Nam Châm,
 Có Đèn","Tên sản phẩm: Mào Taxi Màu sắc: Vàng, Trắng
Chất liệu: Nhựa ABS cao cấp
Kích thước: (Dài x Rộng x Cao)
29cm x 14cm x 10cm
Đế có nam châm từ tính cực hút Có đèn
Sử dụng nguồn điện 12V",139000,,"https://product.hstatic.net/200000163769
/product/10._
mao_taxi_de_hut_nam_cham__co_den_
96c96a4ef80a439a8d273a6edb1ef385_
master.jpg",,,,,16080802-db3f-4dc9-8965-3ddfdb6a676e
4,"
Bình Cứu Hoả Mini 500ml,
Bình Chữa Cháy Mini FIRE STOP
 Dùng Trên Ô Tô, Xe Hơi","Tên sản phẩm: Bình cứu hoả mini, 
Bình chữa cháy mini FIRE STOP
Dung tích: 500ml
Màu sắc: Vàng – Đỏ Kích thước: Cao 26cm",59000,,"https://product.hstatic.net/200000163769
/product/binh_cuu_hoa_mini_a460c2ea9
ec24f3996200afb589a4019_master.png",,,,,1fa4ee2b-be04-4227-b82b-ed20f9fc2c3a
5,"Gối Tựa Đầu, Gối Tựa Cổ Khi Ngủ 
Trên Ô Tô, Xe Hơi
Chống Đau Mỏi Vai Gáy, 
Có Thể Điều Chỉnh Kích Thước","Tên sản phẩm: Gối tựa đầu
cổ ngủ trên ô tô, xe hơi
Chất Liệu: Da PU Cao Cấp
Thanh đỡ Chất liệu ABS 
cao cấp, chắc chắn,
có thể đièu chỉnh kích thước,
xoay 180 độ 
Tai gối có thể tháo rời 
Màu sắc: Đen, Kem, Đỏ, Nâu,
Café, Kem,…",299000,,"https://product.hstatic.net/200000163769
/product/tren_o_to__xe_hoi__chong
_dau_moi_vai_gay__co_the_dieu_chinh
_kich_thuoc_9f97a636bc354414b
cb064e3a9c330b8_master.jpg",,,,,85bc4456-9b62-4f79-b101-b9068446e36e
6,"Đèn LED Trần Ô Tô, Xe Hơi 
Full Size Phù Hợp Với Mọi Loại Xe","Ánh sáng: trắng  
Điện áp: 12V 
Điện năng tiêu thụ 1W 
Mô hình dùng cho: các loại xe phổ thông 
Không thay đổi mạch điện, 
thay thế trực tiếp đèn xe nguyên bản 
Sử dụng: đèn đọc sách, đèn cửa, 
đèn mái, đèn đuôi đèn biển số .... 
Kích thước: 31, 36, 39, 41mm 
Đèn có thể lắp cho mọi loại xe.",29000,,"https://product.hstatic.net/20000
0163769
/product/12._den_led_tran_o_to_34d
16ada57c6425383c4a6b656782cd9
_master.jpg",,,,,16080802-db3f-4dc9-8965-3ddfdb6a676e
7,"Tượng Chú Tiểu Gõ Mõ 
Gật Đầu Sử Dụng Năng Lượng Mặt Trời, 
Tượng Sư Thầy Gõ Mõ","Tên sán phẩm: Tượng sư thầy gõ mõ 
Tượng chú tiểu gõ mõ 
Chất liệu: Nhựa ABS 
Màu sắc: Sư thầy mặc áo cà sa màu đỏ - vàng 
Kích thước: 7.5 cm x 7.5 cm x 9 cm 
Khối lượng: 50g Sử dụng Pin năng lượng mặt trời

",99000,,"https://product.hstatic.net/200000163769
/product/11._tuong_chu_tieu_go_
mo_nang_luong_mat_troi_
afe982ec4c564e8c8796947
dc8066602_master.jpg",,,,,85bc4456-9b62-4f79-b101-b9068446e36e
8,"Bộ 5 Chổi Cọ Rửa Vệ Sinh Ô Tô Đa Năng, 
Cọ Rửa Khoang Máy, Mâm Xe, Nội Thất Ô Tô","Tên sản phẩm: Chổi cọ rử vệ sinh đa năng 
Chất liệu bàn chải: Lông heo và sợi tổng hợp 
Chất liệu tay cầm: Nhựa PP cao cấp 
Bộ gồm 5 chổi kích thước chiều cao: 
24cm – 23cm – 22.5cm – 22cm – 20.5cm 
Màu sắc: Đen – Đỏ Trọng lượng: 205g",39000,,"https://product.hstatic.net/2000001637
69/product/_co_rua_ve_sinh_o_to_da
_nang__co_rua_khoang_may__mam
_xe__noi_that_o_to_76fbab693a4045
5b81a5e0396105a456_master.jpg",,,,,e89798f5-c584-43e4-b288-7ef01073a09a
9,"Chai Xịt Tẩy Vệ Sinh Nội Thất Ô Tô Dạng
Bọt CAMEL FOAM CLEANER 650ml","Tên sản phẩm: Xịt tẩy vệ sinh đa năng, 
vệ sinh nội thất ô tô 
CAMEL MULTI PURPOSE FOAM CLEANER
Dung tích: 650ml
Dạng bọt mịn
Được sản xuất theo công nghệ của Thái Lan
Chai xịt tẩy vệ sinh đa năng Camel 
phù hợp cho việc làm sạch nội thất ô tô, 
nội thất gia đình, vải nỉ, thảm, giày da, vải, 
nhựa, xốp, cao su, đồ kim loại,…
Màu sắc: Chai màu vàng
Mùi thơm dễ chịu
Xuất xứ: Trung Quốc
",35000,,"https://product.hstatic.net/2000001
63769/product/xit_tay_ve_sinh_noi
_that_o_to_camel_ea9554e025dc
4cf9a57fb734b916f440_master.png",,,,,e89798f5-c584-43e4-b288-7ef01073a09a
10,"Chai Xịt Phủ NANO DIY 200ml 
Chống Bám Nước Kính, Phủ Bóng Sơn Xe Ô Tô","Tên sản phẩm: Dung dịch Phủ NANO DIY
Thương hiệu: DIY
Dung tích: 200ml
Kết cấu: Nước khử Ion, dầu khoáng, Glycerin, Este
Chứng nhận tiêu chuẩn MSDS
Mục đích sử dụng: Phủ bóng sơn xe, kính xe, 
chống nước, chống bụi
Điều kiện bảo quản: Nhiệt độ thường

",79000,,"https://product.hstatic.net/20000
0163769/product/xit_phu_nano_
diy_c4402d1b61d24b93aacedd
fd199eb048_master.png",,,,,e89798f5-c584-43e4-b288-7ef01073a09a
11,"Bộ 400 Đinh Tán Chốt Vít Nở 
Nhựa Dùng Cho Xe Ô Tô, Xe Hơi","Tên sản phẩm: Bộ 400 đinh tán chốt vít nở nhựa
Số lượng: Bộ sản phẩm gồm 400 đinh tán chốt vít
Chất liệu: Nhựa
Màu sắc: Màu hỗn hợp ngẫu nhiên
Khối lượng 1 túi: 500gr
",75000,,"https://product.hstatic.net/200000163
769/product/bo_400_dinh_tan_chot_
vit_no_nhua_4da6c911c8ca437a8903
23fba4dfa1e9_master.png",,,,,149a401d-01ed-4138-a4dc-731cf6836060
12,"Máy Khuếch Tán Tinh Dầu Phun Sương 
Khử Mùi Dùng Trên Ô tô, Bàn Làm Việc,
Bàn Học, Cổng Sạc USB","Tên sản phẩm: Máy khuếch tán tinh dầu
Kích thước: 6.9cm x 6.9cm x 15.2cm
Dung tích: 300ml
Trọng lượng: 150gr
Màu sắc: Trắng, Đen, Hồng
Chất liệu: Nhựa ABS + PP + Silicone
",199000,,"https://product.hstatic.net/2000
00163769/product/may_khuech_tan_hoi_
nuoc_-_tinh_dau_57966fc47f084
d6ea47c77c6c7c0abbc_master.png",,,,,85bc4456-9b62-4f79-b101-b9068446e36e
13,"Móc Treo Chìa Khóa Ô Tô Có Logo 
Hãng Xe Cao Cấp Các Hãng - Có Tua Vít
","Tên sản phẩm: Móc treo chìa khoá ô tô 
Có logo của các hãng xe ô tô:
Honda, Hyundai, Mazda, Ford, Toyota, Mitsubishi, 
Nissan, Lexus, Vinfast, Kia, Mecerdes, Audi, 
MG, Peugeot... 
Trọng lượng: 50gr 
Bộ sản phẩm bao gồm: 01 móc treo chìa khoá 
có logo hãng xe + 01 tua vít

",35000,,"https://product.hstatic.net/2000001637
69/product/11._moc_treo_chia_khoa_o_to
_731e600ac1bb4f9b882c6537feb103c0_
master.jpg",,,,,85bc4456-9b62-4f79-b101-b9068446e36e
14,"Bơm Lốp Ô Tô Xe Hơi 2 XiLanh 
Công Suất Cực Lớn Tự Động Ngắt
","Chất liệu : Hợp kim ,nhựa tổng hợp 
Màu sắc : Đen bạc 
Trọng lượng : 2,5kg 
Có đồng hồ hiển thị số cân hơi 
Bơm liên tục tối đa : 15 - 20 phút. 
Lưu lượng bơm khí : 55l/phút. 
Áp suất hơi tối đa : 150PSI ~ 10kg/cm2 
Thời gian bơm : chỉ khoảng 30 giây đến 1 phút 
tùy loại lốp 
Dây nguồn : điện dài 3 mét với đầu cắm tẩu 12V 
Sử dụng nguồn điện : 12V/ 15A , 6A, 8A, 10A
có thể sử dụng nguồn điện 220V 
nếu bạn có bộ đổi nguồn

",790000,,"https://product.hstatic.net/20000016
3769/product/15._bom_lop_o_to_2_xi_lanh
_8512c672fdac44858166c9e70ac342e5
_master.jpg",,,,,6c0733f6-3439-4386-a64f-ebe34d04eead
15,Lò Xo Mở Cốp Ô Tô Tự Động Thông Minh,"Tên sản phẩm: Lò xo mở cốp tự động thông minh 
dùng cho xe ô tô, xe hơi
Kích thước: BẠN CÓ THỂ ĐIỀU CHỈNH CHIỀU DÀI 
LÒ XO PHÙ HỢP VỚI XE CỦA MÌNH
Chiều dài tối thiểu: 15cm; 
Chiều dài tối đa: 24cm
Chất liệu: Inox 304 phun sơn tĩnh điện
bóng, bền, đẹp
Khối lượng: 100gr

",69000,,"https://product.hstatic.net/200000
163769/product/11._lo_xo_mo_cop_o
_to_f96f2ea9a1114edd9972851bbb614
0c8_master.jpg",,,,,149a401d-01ed-4138-a4dc-731cf6836060
16,"Thùng Rác Mini Đa Năng Dùng Trên Xe Ô Tô, 
Bàn Học, Bàn Làm Việc, Hình Ngộ Nghĩnh Đáng Yêu","Tên sản phẩm: Thùng rác mini đa năng
Kích thước: 14 cm x 6.5 cm x 15.5cm 
(Dài  x Rộng x Cao)
Màu sắc: Đen + Sticker Đáng Yêu
Khối lượng: 150gr
Chất liệu: Nhựa ABS cao cấp
Thùng rác mini phù hợp gắn cửa xe ô tô, 
gắn sau ghế ô tô 
hoặc để trên bàn làm việc, bàn học,…
",55000,,"https://product.hstatic.net/20000016
3769/product/6._thung_dung_rac_mini_
4cc4db17d9d3478faeac3aac4a1d618b
_master.jpg",,,,,85bc4456-9b62-4f79-b101-b9068446e36e
17,"Lót Ghế Ô Tô Hạt Gỗ Thông 
Chống Mỏi Lưng, Thoáng Mát Cao Cấp","Chiều dài: 112 cm 
Chiều ngang 45cm 
Độ dài khoác vai 58 cm
CHẤT LIỆU: 100% gỗ thông 
MÀU SẮC: màu vàng bát 
Phân loại: 
Khoác vai gỗ thông 
Khoác vai gỗ thông đan hoa
",189000,,"https://product.hstatic.net/20000016
3769/product/lot_ghe_hat_go_dan_hoa
_3d295e159aac496b87c959d0d22f6ce
4_master.png",,,,,85bc4456-9b62-4f79-b101-b9068446e36e
18,"Cảm Biến Áp Suất Lốp Ô Tô TPMS 
Phiên Bản Quốc Tế, Sử Dụng Năng Lượng Mặt Trời","Cảm biến áp suất lốp Phiên bản QUỐC TẾ, 
sử dụng hoàn toàn tiếng Anh. 
Trang bị VI XỬ LÝ CỦA ĐỨC 
(cao cấp hơn bản dùng chip TQ) 
MÀN HÌNH MÀU, hộp đựng lót mút chống sốc, ... 
HUD cảnh báo dùng nguồn năng lượng kép từ 
nguồn sạc USB và NĂNG LƯỢNG MẶT TRỜI 
Đạt chứng chỉ CE (Châu Âu) và FCC (Mỹ)
Nhiệt độ làm việc: -20°C+80°C . 
HUD cảnh báo chạy bằng pin sạc (qua cổng USB) 
và năng lượng mặt trời (nguồn sạc bổ sung) 
Tuổi thọ pin của bộ phận cảm biến 
áp suất lốp lên đến 2 năm 
Độ chính xác: ±3PSI (±0.2bar) 
Độ chính xác nhiệt độ: ±3°C. 
Phạm vi kiểm tra áp suất: 0-50psi (0-3.5bar).

",459000,,"https://product.hstatic.net/2000001
63769/product/3._cam_bien_ap_suat_lop
_o_to_729a78f81cd246779504a9ffd5db73b2
_master.jpg",,,,,1fa4ee2b-be04-4227-b82b-ed20f9fc2c3a
19,"Chống Bám Nước Kính Ô Tô 3M 
Glass Coat Windshield, Hạn Chế Vết Ố Nước, 
PN08889LT 200ml","Tên sản phẩm: Dung dịch chống bám nước 
kính ô tô 3M Glass Coat Windshield PN08889LT
Mã sản phẩm: 08889LT
Thương hiệu: 3M Mỹ
Dung tích: 200ml
Thành phần:  Water, 2Butoxyethanol, Isobutan
Không chứa chất tẩy rửa, axit
Hạn sử dụng: 3 năm kể từ ngày sản xuất
Bộ sản phẩm bao gồm: 01 chai Chống bám nước kính 
Ô Tô 3M 200ml; 01 găng tay nilon; 01 khăn lau mềm

",199000,,"https://product.hstatic.net/20000016
3769/product/4._chong_bam_nuoc_3m
_f06e518c61e1403e85da7b3d3008d3fe
_master.png",,,,,e89798f5-c584-43e4-b288-7ef01073a09a
20,"Chai Vá Lốp, Bơm Lốp Khẩn Cấp 
Tự Động FLAMINGO F015 
Dùng Cho Ô Tô, Xe Máy, Xe Đạp Điện 450ml","Tên sản phẩm: Chai vá lốp, bơm lốp khẩn cấp, 
tự động – TIRE SEALANT &INFLATOR FLAMINGO F015

Hãng sản xuất: FLAMINGO

Mã sản phẩm: F015

Dung tích: 450ml

Sử dụng cho: Lốp Ô Tô, Lốp Xe Máy, Lốp Xe Đạp điện

Thành phần: Dung dịch dạng xịt Hỗn hợp Glycol, 
Ammonia, Diatomite, Dung môi chất lạnh R134a

Bảo quản nơi khô ráo, thoáng mát. 
Tránh xa tầm tay trẻ em, KHÔNG ĐƯỢC UỐNG. 
Hạn sử dụng 3 năm
",119000,,"https://product.hstatic.net/200000
163769/product/an_cap__tu_dong_dung_cho_
o_to__xe_may__xe_dap_dien_flamingo_f015_
450ml_d69c5a883786440c94aa883ff2f2d029_
master.jpg",,,,,6c0733f6-3439-4386-a64f-ebe34d04eead
21,"Bộ 4 Miếng Dán Phản Quang 
OPEN Cảnh Báo An Toàn Xe Ô Tô","Tên sản phẩm: Miếng dán phản quang 
Open cảnh báo an toàn xe ô tô
Vị trí dán: Cánh cửa xe ô tô, đuôi xe ô tô, 
đầu xe ô tô, bánh xe ô tô
Kích thước: 9.5 cm x 2.5 cm
Màu sắc: Đỏ, Cam, Vàng
Trọng lượng: 10g
Bộ sản phẩm gồm 4 miếng dán phản quang
Chất liệu: Decal phản quang, chống xước tốt

",15000,,"https://product.hstatic.net/200000163
769/product/19._bo_4_mieng_dan_phan_
quang_canh_bao_xe_o_to_86be4993fd1
64f20aaf02eb63cb62587_master.jpg",,,,,1fa4ee2b-be04-4227-b82b-ed20f9fc2c3a
22,"Đôi Cánh Thiên Thần 
3D Dán Trang Trí Logo 
Các Hãng Xe Ô Tô, Chất Liệu Hợp Kim Không Gỉ
","Tên sản phẩm: Đôi cánh thiên thần 
3D trang trí cho logo xe ô tô
Ví trí dán: 2 bên logo của xe ô tô
Màu sắc: Vàng , Bạc
Kích thước: Dài x rộng: 14.2 cm x 4.2 cm
Chất liệu: Hợp kim không gỉ
Bộ sản phẩm bao gồm: 2 cánh thiên thần, 
2 miếng băng keo dán 2 mặt
Khối lượng: 50g

",39000,,"https://product.hstatic.net/2000001637
69/product/17._doi_canh_thien_than_3d_
dan_trang_tri_logo_hang_xe_o_to_b18b98
31464e453abeb2f57b00fb076c_master.png",,,,,85bc4456-9b62-4f79-b101-b9068446e36e
23,"Bộ 4 Tượng Chú Tiểu Tứ Không Để Taplo 
Trang Trí Xe Ô Tô, Bàn Làm Việc, Bàn Học","Tên sản phẩm: Bộ 4 tượng chú tiểu tứ không: 
Không Nhìn, Không Nói, Không Nghe, Không Làm
Kích thước: (Rộng x Cao)
Tượng Không nhìn: 4cm x 5cm
Tượng Không nói: 3.5cm x 5cm
  Tượng Không nghe: 3.7cm x 5cm
  Tượng Không làm: 3.5cm x 5cm
Màu sắc: Vàng – Nâu – Xanh _Ghi
Chất liệu: Thạch cao phủ sơn cao cấp

",45000,,"https://product.hstatic.net/200000
163769/product/_bo_4_tuong_chu
_tieu_tu_khong_de_taplo_trang_tri_xe_
o_to__ban_lam_viec_7bd34854b14442f
89ebbb45aa3e2bfc6_master.png",,,,,85bc4456-9b62-4f79-b101-b9068446e36e
24,"Tem Dán Ô Tô Baby In Car, 
Dán Đuôi Xe Ô Tô, Decal Dán Trang Trí Xe 
Ô Tô Nhiều Hình Ngộ Nghĩnh","Tên sản phẩm: Tem dán ô tô Baby In Car
Màu sắc: Nhiều  màu
Kích thước:
Hình vuông: 11 x 11 (cm);
Hình tròn: Đường kính 11cm
Vị trí dán: Đuôi xe ô tô; Kính chắn gió sau ô tô
Chất liệu: Giấy lụa PVC phủ kim loại
",10000,,"https://product.hstatic.net/20000
0163769/product/em_dan_o_to_baby_
in_car__dan_duoi_xe_o_to__decal_dan
_trang_tri_xe_o_to_be724382fc2b48fb9bc
c9f7ed9b57a41_master.png",,,,,85bc4456-9b62-4f79-b101-b9068446e36e
25,"Chốt Cài Dây An Toàn Ô Tô Cắm Nối Tiếp, 
Đai Ngắt Chuông Ô Tô Full Logo Các Hãng Xe Ô Tô
","Tên sản phẩm: Chốt cài dây an toàn nối tiếp, 
Đai ngắt chuông nối tiếp
Khối lượng: 50g
Màu sắc: Bạc – Đen
Chất liệu: Da vân carbon, Thép chống gỉ
Full logo các hãng xe: Mazda, Hyundai, Toyota, 
Honda, Ford, Mercedes, Chevrolet, BMW, 
Vinfast, Nissan, Mitsubishi, Kia, VIP,….
Kích thước: 9.5 cm x 4 cm x 2.4 cm (Dài x rộng x cao)

",75000,,"https://product.hstatic.net/200000
163769/product/10._chot_cai_day_
an_toan_noi_tiep_cac_hang_xe_o_to_
45d1364f3b12417fb9ef76860682842c_
master.jpg",,,,,1fa4ee2b-be04-4227-b82b-ed20f9fc2c3a
26,"Giá Đỡ Điện Thoại Để Taplo - Gắn Kính Lái Xe Ô Tô, 
Kẹp Điện Thoại Cửa Gió Điều Hoà Ô Tô AB360","1. Giá đỡ điện thoại đẻ taplo - gắn cửa kính
Khối lượng: 300gr
Màu sắc: Đen
Chất liệu: ABS, PP, PVC 
Có thể xoay, kéo dài, điều chỉnh tùy ý
Dùng được trên taplo, cửa kính 
Phù hợp với các dòng điện thoại 
có kích thước từ 4 - 7 inch
Đế hít chân không
Xoay 270 độ
1.1. Giá đỡ điện thoại kép cửa gió
Khối lượng: 200gr
Màu sắc: Đen
Chất liệu: ABS, PP, PVC 
Có thể xoay, kéo dài, điều chỉnh tùy ý
Dùng được trên cửa gió điều hoà ô tô
Phù hợp với các dòng điện thoại có kích thước từ 4 - 7 inch
3 Chân, kẹp cửa gió chắc chắn
Xoay 180 độ

",69000,,"https://product.hstatic.net/2000001
63769/product/10._gia_do_dien_thoai
_6a26a8c6f35843fe86c15c8bff8f8b
71_master.jpg",,,,,16080802-db3f-4dc9-8965-3ddfdb6a676e
27,"Móc Treo Đồ Đa Năng Gắn Sau Ghế Ô Tô, 
Chất Liệu Nhựa ABS Cao Cấp Version 2","Tên sản phẩm: Móc treo đồ đa năng gắn sau ghế ô tô
Chất liệu: Nhưa ABS cao cấp
Màu sắc: Đen
Kích thước: 60 mm x 10 mm
Vị trí sử dụng: Ghế ô tô
Kiểu dáng: Dạng móc
",4000,,"https://product.hstatic.net/20000
0163769/product/23._moc_treo_
do_da_nang_gan_sau_ghe_o_to_
5e752d1edb1a4c9e893ca27d4af640e8
_master.png",,,,,1fa4ee2b-be04-4227-b82b-ed20f9fc2c3a
28,"Nút Dán Giảm Lực Đóng Cửa Xe 
Ô Tô Chất Liệu Silicone Cao Cấp, 
Chống Sốc Bảo Vệ Cửa Xe Ô Tô","Tên sản phẩm: Nút dán giảm lực đóng cửa xe ô tôa
Kích thước: 
Cao: 1 cm
Đường kính: 2.8 cm
Độ dày: 4 mm
Trọng lượng: 50g
Chất liệu: Silicone cao cấp, chống va đập, chống sốc
Vị trí lắp đặt: Mép cửa, Vị trí tiếp xúc của cánh cửa, 
Nắp Capo, Cốp xe với thân xe

",3000,,"https://product.hstatic.net/20000016
3769/product/14._nut_dan_giam_luc_dong
_cua_xe_o_to_d9777dcd56564e92ac60c3d
8eadc96fb_master.jpg",,,,,1fa4ee2b-be04-4227-b82b-ed20f9fc2c3a
29,"Nước Hoa Kẹp Cửa Gió Điều Hoà Ô Tô 
Sang Trọng, Quý Phái, 
Tinh Dầu Thơm Dùng Cho Xe Ô Tô","Tên sản phẩm: Nước hoa kẹp cửa gió điều hoà ô tô, xe hơi 
Dung tích: 12 ml 
Kích thước hộp: 130 x 70 (mm) 
Kích thước chai nước hoa: 70 x 55 (mm) 
Thành phần: Nước hoa kẹp cửa gió điều hoà ô tô 
được làm từ 100% tinh dầu thiên nhiên 
Mùi hương 
Màu Vàng: Hương chanh tươi mát, khử mùi hiệu quả 
Màu Xanh dương: Hương bạc hà thanh mát, 
khử mùi nhẹ nhàng 
Màu Đỏ: Hương hoa quả ngọt dịu, nhẹ nhàng 
Màu Tím: Hương Hoa Lavender dịu dàng, thơm nhẹ nhàng 
Khối lượng: 0.2 kg

",69000,,"https://product.hstatic.net/200000163
769/product/1._nuoc_hoa_kep_cua_gio_
dieu_hoa_o_to_a28d0c049c92434eb304d3
f291521e38_master.png",,,,,85bc4456-9b62-4f79-b101-b9068446e36e
30,"Bộ 2 Mang Cá R-LINE Chữ 3D 
Kiểu Dáng Thể Thao Trang Trí Xe Ô Tô","Bộ 2 Mang Cá R-LINE gồm 1 cặp cho 2 bên sườn xe ô tô
Kích thước: Tổng chiểu dài Mang cá R-LINE là 43 cm
Chất liệu: Bộ 2 mang cá R-LINE làm từ hợp kim INOX cao cấp
Mang cá R-LINE thiết kế chữ nổi 3D
Phù hợp với mọi loại xe ô tô từ 4-7 chỗ
Sử dụng băng keo dính chắc chắn, không bong tróc
Màu sắc: Mang cá R-LINE gồm các màu: 
Màu Đen, Màu Đỏ, Màu Xanh dương

",109000,,"https://product.hstatic.net/2000
00163769/product/4._bo_2_mang_ca
_r-line_trang_tri_o_to_e81b9155fd224152
804cd418aa22c960_master.png",,,,,85bc4456-9b62-4f79-b101-b9068446e36e
31,"Nẹp Dán Vân Carbon Chống Trầy 
Xước Bảo Vệ Bậc Cửa Và Cốp Xe Ô Tô 
Full Các Hãng Xe","Bộ Nẹp dán vân carbon chống trầy xước gồm:
2 miếng cửa trước: 40 cm x 7 cm
2 miếng cửa sau: 60cm x 7cm
1 miếng cốp: 90 cm x 7cm
Chất liệu: Vân carbon
Nẹp dán vân carbon chống trầy xước 
sử dụng keo dán chắc chắn, dễ dàng sử dụng
Nẹp dán vân carbon chống trầy xước sử dụng 
cho bậc cửa xe ô tô, cốp xe ô tô
Nẹp dán vân carbon chống trầy xước full logo các hang xe: 
Huyndai, Honda, Toyota, Chevrolet, Ford, Kia, Hyundai, 
Mercedes, Mitsubishi, Sport, Vinfast, Audi, Nissan, 
Suzuki, Audi, Peogoet, Lexus, Mazda,…

",20000,,"https://product.hstatic.net/20000016
3769/product/5._nep_van_carbon_chong
_tray_xuoc_dan_bac_cua_va_cop_xe_o_to
_3c6b58c3075d4bb586eb0400b6ef40e0
_master.png",,,,,85bc4456-9b62-4f79-b101-b9068446e36e
32,"Keo Trợ Dính 3M 94 Primer 10Ml – 
Keo Hỗ Trợ Tăng Độ Dính 
Cho Băng Keo 2 Mặt, Hỗ Trợ Dán Phụ Kiện Xe","Sản phẩm là keo trợ dính cho băng keo 3M 2 mặt,không phải
là keo dính trực tiếp như keo con voi 502
",15000,,"https://product.hstatic.net/20000016376
9/product/tro_dinh_3m_ca662d50fad948
a484843e0be5bc5a1f_master.png",,,,,e89798f5-c584-43e4-b288-7ef01073a09a
33,"Máy Hút Bụi Kiêm Bơm Lốp Ô Tô DC12V 4 in 1 
– Hút Bụi, Bơm Lốp Ô Tô, Đèn Chiếu Sáng, 
Đo Áp Suất Lốp; Bảo Hành 6 Tháng","Tên sản phẩm: Máy hút bụi kiêm bơm lốp ô tô 4 in 1 
Khối lượng: ~1.5kg
Màu sắc: Trắng + Đen
Chất liệu: Nhựa ABS cao cấp
Công suất: 100W
Điện áp: 12V -  Tẩu sạc ô tô
Phụ kiện kèm theo máy: Đầu hút dài, Đầu hút chổi, 
Ống nối gia tăng thêm chiều dài dây hút
Ứng dụng: Hút bụi ô tô, Bơm lốp ô tô, 
Đèn chiếu sáng, Đo áp suất lốp ô tô

",349000,,"https://product.hstatic.net/200000163769
/product/3._may_hut_bui_kem_bom_lop_o_to_
081629f0b10e4f1e969019d1050a7ddf_master.jpg",,,,,16080802-db3f-4dc9-8965-3ddfdb6a676e
34,"Vệ Sinh Dàn Lạnh, Vệ Sinh Điều Hoà Ô Tô, 
Dung Dịch Vệ Sinh 3M Air Conditioner Cleaner Foam 
Dạng Bọt, Hàng Chính Hãng
","Tên sản phẩm: Dung dịch vệ sinh dàn lạnh, 
vệ sinh điều hoà ô tô, 
xe hơi 3M AIR CONDITIONER CLEANER FOAM 
Thương hiệu: 3M Mỹ 
Dạng chai: Chai xịt dạng bọt, có ống dẫn kèm theo 
Dung tích: 250ml 
Thành phần: Nước, Khí hoá lỏng, Tinh dầu cam, 
Hợp chất carbon Terpenes, Chất tạo nhũ tương 
Công dụng: Giúp làm sạch và khử mùi hệ thống điều hoà 
không khí trên ô tô 
Bộ sản phẩm bao gồm: 01 chai dung dịch vệ sinh dàn lạnh 
3M air conditioner cleaner foam và 01 ống dẫn 
Khuyến nghị: 20.000km nên vệ sinh 1 lần 
Lưu ý: 
Không để sản phẩm tại nơi có nhiệt độ cao 
Tránh để sản phẩm tiếp xúc với mắt 
Hạn sử dụng: 1 năm kể từ ngày sản xuất

",199000,,"https://product.hstatic.net/200000163769
/product/3.__ve_sinh_dan_lanh_o_to_3m_air
_conditioner_cleaner_57b8c8b1724a48178f
096b9b7f300bef_master.png",,,,,e89798f5-c584-43e4-b288-7ef01073a09a
